method,median_f1_weighted
Cellpose,0.5286838432442049
InstanSeg,0.5265713012162085
MicroSAM,0.5225718542558142
CellposeSAM,0.4998460745565097
CellSAM,0.49813466139021834
Mesmer,0.49119368617023895
